modelo_version,temporadas,segmento,grupo,n,modelo,mercado,brecha,peso
dc-xi0020-reg002-rho,2425 2526 2627,por temporada,2425,380,0.989626,0.966733,0.022893,0.011012
dc-xi0020-reg002-rho,2425 2526 2627,por temporada,2526,380,1.026375,1.011767,0.014608,0.007026
dc-xi0020-reg002-rho,2425 2526 2627,por temporada,2627,30,0.957396,1.008226,-0.050830,-0.001930
dc-xi0020-reg002-rho,2425 2526 2627,por resultado,empate,207,1.418704,1.408362,0.010342,0.002710
dc-xi0020-reg002-rho,2425 2526 2627,por resultado,gana local,329,0.754730,0.713742,0.040988,0.017070
dc-xi0020-reg002-rho,2425 2526 2627,por resultado,gana visitante,254,0.995372,1.006791,-0.011420,-0.003672
dc-xi0020-reg002-rho,2425 2526 2627,con equipo recien ascendido,no,566,1.044553,1.023849,0.020704,0.014834
dc-xi0020-reg002-rho,2425 2526 2627,con equipo recien ascendido,si,224,0.908863,0.904369,0.004494,0.001274
dc-xi0020-reg002-rho,2425 2526 2627,con tarjeta roja,no,708,1.003270,0.984847,0.018423,0.016511
dc-xi0020-reg002-rho,2425 2526 2627,con tarjeta roja,si,82,1.030330,1.034214,-0.003884,-0.000403
dc-xi0020-reg002-rho,2425 2526 2627,arranque de temporada (ago-oct),no,580,1.020640,0.999302,0.021337,0.015665
dc-xi0020-reg002-rho,2425 2526 2627,arranque de temporada (ago-oct),si,210,0.965863,0.964197,0.001665,0.000443
dc-xi0020-reg002-rho,2425 2526 2627,segun lo desigual del partido,favorito claro (>60%),183,0.811222,0.789694,0.021528,0.004987
dc-xi0020-reg002-rho,2425 2526 2627,segun lo desigual del partido,favorito moderado,336,1.039796,1.022414,0.017382,0.007393
dc-xi0020-reg002-rho,2425 2526 2627,segun lo desigual del partido,parejo (<45%),271,1.095857,1.084988,0.010869,0.003728
