modelo_version,temporadas,ligas,segmento,grupo,n,modelo,mercado,brecha,peso,ci_low,ci_high,p_value,concluyente
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,por temporada,2425,1752,0.985645,0.960761,0.024884,0.011944,0.017207,0.032445,0.0000,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,por temporada,2526,1752,0.994975,0.977441,0.017534,0.008416,0.009898,0.025361,0.0000,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,por temporada,2627,146,0.967986,0.978320,-0.010334,-0.000413,-0.044680,0.021390,0.5561,no
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,por resultado,empate,919,1.373899,1.353210,0.020688,0.005209,0.012878,0.028479,0.0000,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,por resultado,gana local,1568,0.746669,0.716315,0.030354,0.013040,0.022167,0.038537,0.0000,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,por resultado,gana visitante,1163,1.012882,1.007551,0.005331,0.001699,-0.005733,0.016400,0.3528,no
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,con equipo recien ascendido,no,2639,0.996340,0.978758,0.017582,0.012712,0.011711,0.023476,0.0000,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,con equipo recien ascendido,si,1011,0.971346,0.945224,0.026122,0.007236,0.014291,0.038297,0.0000,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,con tarjeta roja,no,3053,0.985354,0.965327,0.020027,0.016751,0.014187,0.026061,0.0000,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,con tarjeta roja,si,597,1.010194,0.990653,0.019541,0.003196,0.006603,0.032230,0.0035,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,arranque de temporada (ago-oct),no,2608,0.995453,0.973164,0.022290,0.015927,0.016081,0.028418,0.0000,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,arranque de temporada (ago-oct),si,1042,0.974308,0.960224,0.014084,0.004021,0.003516,0.024691,0.0093,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,segun lo desigual del partido,favorito claro (>60%),871,0.775783,0.752717,0.023066,0.005504,0.012586,0.033811,0.0000,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,segun lo desigual del partido,favorito moderado,1516,1.032324,1.010944,0.021380,0.008880,0.012528,0.030031,0.0000,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,segun lo desigual del partido,parejo (<45%),1263,1.085243,1.069166,0.016077,0.005563,0.007319,0.024983,0.0001,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,por liga,Bundesliga,630,0.999742,0.969818,0.029924,0.005165,0.016326,0.043955,0.0000,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,por liga,LaLiga,801,0.975345,0.955654,0.019691,0.004321,0.009431,0.029864,0.0000,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,por liga,Ligue 1,639,0.991161,0.971438,0.019723,0.003453,0.006998,0.032570,0.0027,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,por liga,Premier League,790,1.006079,0.989971,0.016108,0.003486,0.003586,0.028756,0.0153,si
dc-xi0020-reg002-rho,2425 2526 2627,E0 SP1 D1 I1 F1,por liga,Serie A,790,0.977378,0.961106,0.016272,0.003522,0.005347,0.027421,0.0048,si
