match_id,match_date,home_team,away_team,pre_h,pre_d,pre_a,pre_o25,pre_u25,file_modified,fetched_at
D1_2026-09-12_FC-Koln_Werder-Bremen,2026-09-12,FC Koln,Werder Bremen,0.453329,0.251579,0.295092,0.610687,0.389313,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
D1_2026-09-13_RB-Leipzig_Hamburg,2026-09-13,RB Leipzig,Hamburg,0.697506,0.178370,0.124125,0.672170,0.327830,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
D1_2026-09-13_Elversberg_Bayern-Munich,2026-09-13,Elversberg,Bayern Munich,0.073348,0.112174,0.814479,0.808264,0.191736,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
E0_2026-09-12_Tottenham_Everton,2026-09-12,Tottenham,Everton,0.467016,0.267245,0.265739,0.491979,0.508021,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
E0_2026-09-12_Sunderland_Arsenal,2026-09-12,Sunderland,Arsenal,0.127755,0.228222,0.644023,0.462766,0.537234,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
E0_2026-09-13_Coventry_Brighton,2026-09-13,Coventry,Brighton,0.240282,0.251878,0.507840,0.541333,0.458667,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
E0_2026-09-13_Man-United_Man-City,2026-09-13,Man United,Man City,0.304740,0.248307,0.446953,0.624060,0.375940,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
E0_2026-09-14_Leeds_Newcastle,2026-09-14,Leeds,Newcastle,0.394193,0.271936,0.333871,0.533333,0.466667,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
F1_2026-09-12_Strasbourg_Monaco,2026-09-12,Strasbourg,Monaco,0.311398,0.252644,0.435958,0.606138,0.393862,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
F1_2026-09-12_Auxerre_Nice,2026-09-12,Auxerre,Nice,0.370051,0.283111,0.346838,0.490617,0.509383,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
F1_2026-09-12_Le-Havre_Angers,2026-09-12,Le Havre,Angers,0.380736,0.291779,0.327486,0.460106,0.539894,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
F1_2026-09-12_Lorient_Toulouse,2026-09-12,Lorient,Toulouse,0.366169,0.284058,0.349773,0.491979,0.508021,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
F1_2026-09-12_Paris-FC_Lyon,2026-09-12,Paris FC,Lyon,0.358093,0.262068,0.379839,0.570681,0.429319,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
F1_2026-09-13_Lille_Troyes,2026-09-13,Lille,Troyes,0.673295,0.199548,0.127158,0.562005,0.437995,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
F1_2026-09-13_Le-Mans_Lens,2026-09-13,Le Mans,Lens,0.196267,0.232884,0.570849,0.572178,0.427822,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
F1_2026-09-13_Brest_Paris-SG,2026-09-13,Brest,Paris SG,0.094740,0.158706,0.746554,0.671395,0.328605,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
I1_2026-09-12_Lazio_Milan,2026-09-12,Lazio,Milan,0.287924,0.294203,0.417873,0.423377,0.576623,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
I1_2026-09-12_Atalanta_Cagliari,2026-09-12,Atalanta,Cagliari,0.600016,0.237286,0.162699,0.493333,0.506667,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
I1_2026-09-13_Lecce_Monza,2026-09-13,Lecce,Monza,0.360143,0.303033,0.336824,0.424479,0.575521,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
I1_2026-09-13_Napoli_Bologna,2026-09-13,Napoli,Bologna,0.535758,0.265603,0.198639,0.456233,0.543767,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
I1_2026-09-13_Sassuolo_Juventus,2026-09-13,Sassuolo,Juventus,0.183151,0.238003,0.578846,0.525333,0.474667,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
I1_2026-09-14_Como_Parma,2026-09-14,Como,Parma,0.768659,0.160028,0.071313,0.557895,0.442105,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
I1_2026-09-14_Torino_Roma,2026-09-14,Torino,Roma,0.164071,0.235388,0.600541,0.526738,0.473262,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
I1_2026-09-14_Inter_Udinese,2026-09-14,Inter,Udinese,0.754271,0.161169,0.084560,0.612658,0.387342,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
SP1_2026-09-12_Ath-Bilbao_Elche,2026-09-12,Ath Bilbao,Elche,0.671171,0.200074,0.128755,0.560526,0.439474,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
SP1_2026-09-12_Real-Madrid_Vallecano,2026-09-12,Real Madrid,Vallecano,0.845374,0.103572,0.051054,0.744422,0.255578,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
SP1_2026-09-13_Celta_Malaga,2026-09-13,Celta,Malaga,0.550279,0.258418,0.191303,0.458667,0.541333,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
SP1_2026-09-13_Levante_Barcelona,2026-09-13,Levante,Barcelona,0.064907,0.118955,0.816137,0.747984,0.252016,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
SP1_2026-09-13_Getafe_La-Coruna,2026-09-13,Getafe,La Coruna,0.389064,0.334678,0.276258,0.310502,0.689498,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
SP1_2026-09-13_Sociedad_Ath-Madrid,2026-09-13,Sociedad,Ath Madrid,0.332976,0.268869,0.398155,0.569554,0.430446,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
SP1_2026-09-14_Villarreal_Betis,2026-09-14,Villarreal,Betis,0.496185,0.246128,0.257687,0.605128,0.394872,2026-09-11T07:17:14+00:00,2026-09-12T14:52:27+00:00
