mercado,etiqueta,linea,n,w,log_loss_base,log_loss_modelo,log_loss_encogido,log_loss_mercado,gana_a_base,ci_low,ci_high,p_value,concluyente
GOLES_OU15,Goles,1.5,760,0.5,0.500664,0.501451,0.498484,,0.002180,-0.007208,0.002828,0.3895,no
GOLES_OU25,Goles,2.5,760,0.8,0.687084,0.686885,0.684361,0.680588,0.002723,-0.012613,0.007215,0.5873,no
GOLES_OU35,Goles,3.5,760,0.8,0.621867,0.628926,0.624955,,-0.003088,-0.006656,0.013027,0.5370,no
CORNERS_OU85,Corners,8.5,760,0.4,0.625641,0.642539,0.623737,,0.001904,-0.009408,0.005343,0.6084,no
CORNERS_OU95,Corners,9.5,760,0.4,0.680270,0.698656,0.679416,,0.000854,-0.007435,0.005677,0.7870,no
CORNERS_OU105,Corners,10.5,760,0.6,0.690147,0.704864,0.689862,,0.000285,-0.009564,0.009236,0.9392,no
CORNERS_OU115,Corners,11.5,760,0.6,0.630670,0.633561,0.623818,,0.006852,-0.015354,0.001869,0.1205,no
TARJETAS_OU25,Tarjetas amarillas,2.5,760,0.9,0.599077,0.583370,0.581545,,0.017532,-0.033464,-0.000880,0.0380,si
TARJETAS_OU35,Tarjetas amarillas,3.5,760,0.8,0.713608,0.682191,0.681710,,0.031897,-0.047740,-0.015737,0.0001,si
TARJETAS_OU45,Tarjetas amarillas,4.5,760,0.8,0.677322,0.662647,0.658156,,0.019165,-0.036244,-0.002035,0.0287,si
TIROS_PUERTA_OU75,Tiros a puerta,7.5,760,0.6,0.651144,0.662792,0.649523,,0.001620,-0.011792,0.008661,0.7593,no
TIROS_PUERTA_OU85,Tiros a puerta,8.5,760,0.7,0.693410,0.698515,0.688369,,0.005041,-0.017020,0.007213,0.4156,no
TIROS_PUERTA_OU95,Tiros a puerta,9.5,760,0.7,0.661381,0.657646,0.653157,,0.008225,-0.019568,0.003368,0.1577,no
