mercado,etiqueta,linea,ligas,n,w,w_por_liga,w_f5_una_liga,log_loss_base,log_loss_encogido,gana_a_base,ci_low,ci_high,p_value,concluyente
GOLES_OU15,Goles,1.5,E0 SP1 D1 I1 F1,3504,0.5,E0:0.5 SP1:0.5 D1:0.5 I1:0.4 F1:0.8,,0.535709,0.529689,0.006021,0.003018,0.009092,0.0000,si
GOLES_OU25,Goles,2.5,E0 SP1 D1 I1 F1,3504,0.7,E0:0.8 SP1:0.8 D1:0.7 I1:0.7 F1:0.6,,0.688278,0.678176,0.010102,0.005100,0.015105,0.0001,si
GOLES_OU35,Goles,3.5,E0 SP1 D1 I1 F1,3504,0.7,E0:0.8 SP1:0.8 D1:0.6 I1:0.6 F1:0.7,,0.611585,0.599960,0.011625,0.006589,0.016587,0.0000,si
CORNERS_OU85,Corners,8.5,E0 SP1 D1 I1 F1,3503,0.5,E0:0.4 SP1:0.3 D1:0.3 I1:0.6 F1:0.4,,0.674754,0.665290,0.009464,0.005232,0.013732,0.0000,si
CORNERS_OU95,Corners,9.5,E0 SP1 D1 I1 F1,3503,0.5,E0:0.4 SP1:0.5 D1:0.3 I1:0.7 F1:0.5,,0.693239,0.685172,0.008067,0.004162,0.011934,0.0001,si
CORNERS_OU105,Corners,10.5,E0 SP1 D1 I1 F1,3503,0.6,E0:0.6 SP1:0.6 D1:0.6 I1:0.6 F1:0.3,,0.663773,0.656566,0.007207,0.002877,0.011462,0.0013,si
CORNERS_OU115,Corners,11.5,E0 SP1 D1 I1 F1,3503,0.6,E0:0.6 SP1:0.7 D1:0.5 I1:0.7 F1:0.5,,0.587445,0.577976,0.009470,0.005615,0.013247,0.0000,si
TARJETAS_OU25,Tarjetas amarillas,2.5,E0 SP1 D1 I1 F1,3503,0.7,E0:0.9 SP1:0.5 D1:0.6 I1:0.5 F1:0.6,0.9,0.577765,0.562544,0.015221,0.009364,0.021102,0.0000,si
TARJETAS_OU35,Tarjetas amarillas,3.5,E0 SP1 D1 I1 F1,3503,0.6,E0:0.8 SP1:0.5 D1:0.8 I1:0.7 F1:0.3,0.8,0.702906,0.675093,0.027813,0.022112,0.033546,0.0000,si
TARJETAS_OU45,Tarjetas amarillas,4.5,E0 SP1 D1 I1 F1,3503,0.6,E0:0.8 SP1:0.6 D1:0.5 I1:0.7 F1:0.6,0.8,0.670501,0.645341,0.025161,0.019826,0.030426,0.0000,si
TIROS_PUERTA_OU75,Tiros a puerta,7.5,E0 SP1 D1 I1 F1,3503,0.6,E0:0.6 SP1:0.5 D1:0.8 I1:0.6 F1:0.8,,0.661967,0.646386,0.015581,0.010192,0.020971,0.0000,si
TIROS_PUERTA_OU85,Tiros a puerta,8.5,E0 SP1 D1 I1 F1,3503,0.7,E0:0.7 SP1:0.6 D1:0.8 I1:0.7 F1:0.8,,0.696917,0.679123,0.017794,0.011271,0.024218,0.0000,si
TIROS_PUERTA_OU95,Tiros a puerta,9.5,E0 SP1 D1 I1 F1,3503,0.7,E0:0.7 SP1:0.7 D1:0.7 I1:0.7 F1:0.8,,0.666755,0.645470,0.021285,0.014955,0.027635,0.0000,si
