model_version,market,eval_set,n_matches,log_loss,brier,accuracy,computed_at
base-freq-v1,GOLES_OU25,live,45,0.664928,0.472085,0.577778,2026-09-14T20:02:24+00:00
market-pre-v1,GOLES_OU25,live,28,0.667218,0.477736,0.571429,2026-09-14T20:02:24+00:00
dc-xi0020-reg002-rho+goles-w-5l,GOLES_OU25,live,45,0.687902,0.495953,0.555556,2026-09-14T20:02:24+00:00
market-pre-v1,1X2,live,28,0.929873,0.549457,0.535714,2026-09-14T20:02:24+00:00
dc-xi0020-reg002-rho+recal1000,1X2,live,45,1.019195,0.608870,0.466667,2026-09-14T20:02:24+00:00
dc-xi0020-reg002-rho+goles-w-5l,GOLES_OU25,live@pre,28,0.685374,0.494433,0.535714,2026-09-14T20:02:24+00:00
dc-xi0020-reg002-rho+recal1000,1X2,live@pre,28,0.927570,0.546118,0.535714,2026-09-14T20:02:24+00:00
market-avgclose-v1,1X2,test,1900,0.955588,0.566997,0.559474,2026-09-09T16:32:13+00:00
dixon-coles-xi0020-reg002-v1,1X2,test,1900,0.978580,0.582262,0.531579,2026-09-09T16:32:13+00:00
dixon-coles-xi0020-v1,1X2,test,1900,0.982627,0.583663,0.533158,2026-09-09T16:32:13+00:00
poisson-decay-xi0020-v1,1X2,test,1900,0.982859,0.583832,0.532632,2026-09-09T16:32:13+00:00
baseline-elo-v1,1X2,test,1900,0.984459,0.587053,0.542632,2026-09-09T16:32:13+00:00
poisson-v1,1X2,test,1900,1.008601,0.602109,0.506842,2026-09-09T16:32:13+00:00
baseline-freq-v1,1X2,test,1900,1.067873,0.646067,0.441579,2026-09-09T16:32:13+00:00
