checked_at,league,played,file_last_date,file_age_hours,awaiting,error
2026-09-12T14:31:32+00:00,E0,30,2026-09-06,111.9,0,
2026-09-12T14:31:32+00:00,SP1,41,2026-09-07,111.9,2,
2026-09-12T14:31:32+00:00,D1,18,2026-09-06,111.9,1,
2026-09-12T14:31:32+00:00,I1,30,2026-09-07,111.9,1,
2026-09-12T14:31:32+00:00,F1,27,2026-09-06,111.9,1,
2026-09-13T07:42:56+00:00,E0,30,2026-09-06,129.1,7,
2026-09-13T07:42:56+00:00,SP1,41,2026-09-07,129.1,5,
2026-09-13T07:42:56+00:00,D1,18,2026-09-06,129.1,7,
2026-09-13T07:42:56+00:00,I1,30,2026-09-07,129.1,4,
2026-09-13T07:42:56+00:00,F1,27,2026-09-06,129.1,6,
2026-09-14T08:11:01+00:00,E0,30,2026-09-06,153.5,9,
2026-09-14T08:11:01+00:00,SP1,41,2026-09-07,153.5,9,
2026-09-14T08:11:01+00:00,D1,18,2026-09-06,153.5,9,
2026-09-14T08:11:01+00:00,I1,30,2026-09-07,153.5,7,
2026-09-14T08:11:01+00:00,F1,27,2026-09-06,153.5,9,
2026-09-14T20:02:24+00:00,E0,30,2026-09-06,165.4,0,
2026-09-14T20:02:24+00:00,SP1,41,2026-09-07,165.4,0,
2026-09-14T20:02:24+00:00,D1,18,2026-09-06,165.4,0,
2026-09-14T20:02:24+00:00,I1,30,2026-09-07,165.4,0,
2026-09-14T20:02:24+00:00,F1,27,2026-09-06,165.4,0,
2026-09-15T08:05:31+00:00,E0,40,2026-09-14,9.1,0,
2026-09-15T08:05:31+00:00,SP1,51,2026-09-14,9.1,0,
2026-09-15T08:05:31+00:00,D1,27,2026-09-13,9.1,0,
2026-09-15T08:05:31+00:00,I1,40,2026-09-14,9.1,0,
2026-09-15T08:05:31+00:00,F1,36,2026-09-13,9.1,0,
2026-09-16T07:58:35+00:00,E0,40,2026-09-14,33.0,0,
2026-09-16T07:58:35+00:00,SP1,51,2026-09-14,33.0,0,
2026-09-16T07:58:35+00:00,D1,27,2026-09-13,33.0,0,
2026-09-16T07:58:35+00:00,I1,40,2026-09-14,33.0,0,
2026-09-16T07:58:35+00:00,F1,36,2026-09-13,33.0,0,
2026-09-17T08:02:59+00:00,E0,,,,0,<urlopen error [Errno 111] Connection refused>
2026-09-17T08:02:59+00:00,SP1,,,,1,<urlopen error [Errno 111] Connection refused>
2026-09-17T08:02:59+00:00,D1,,,,0,<urlopen error [Errno 111] Connection refused>
2026-09-17T08:02:59+00:00,I1,,,,0,<urlopen error [Errno 111] Connection refused>
2026-09-17T08:02:59+00:00,F1,,,,0,<urlopen error [Errno 111] Connection refused>
2026-09-18T07:40:28+00:00,E0,40,2026-09-14,80.7,0,
2026-09-18T07:40:28+00:00,SP1,59,2026-09-17,9.0,1,
2026-09-18T07:40:28+00:00,D1,27,2026-09-13,80.7,0,
2026-09-18T07:40:28+00:00,I1,40,2026-09-14,80.7,0,
2026-09-18T07:40:28+00:00,F1,36,2026-09-13,80.7,0,
2026-09-19T07:35:54+00:00,E0,40,2026-09-14,104.6,0,
2026-09-19T07:35:54+00:00,SP1,59,2026-09-17,32.9,1,
2026-09-19T07:35:54+00:00,D1,27,2026-09-13,104.6,0,
2026-09-19T07:35:54+00:00,I1,40,2026-09-14,104.6,0,
2026-09-19T07:35:54+00:00,F1,36,2026-09-13,104.6,0,
2026-09-20T07:59:16+00:00,E0,40,2026-09-14,129.0,0,
2026-09-20T07:59:16+00:00,SP1,59,2026-09-17,57.3,1,
2026-09-20T07:59:16+00:00,D1,,,,0,The read operation timed out
2026-09-20T07:59:16+00:00,I1,40,2026-09-14,129.0,0,
2026-09-20T07:59:16+00:00,F1,36,2026-09-13,129.0,0,
2026-09-21T08:16:42+00:00,E0,40,2026-09-14,153.3,0,
2026-09-21T08:16:42+00:00,SP1,59,2026-09-17,81.6,1,
2026-09-21T08:16:42+00:00,D1,27,2026-09-13,153.3,0,
2026-09-21T08:16:42+00:00,I1,40,2026-09-14,153.3,0,
2026-09-21T08:16:42+00:00,F1,36,2026-09-13,153.3,0,
2026-09-22T08:00:12+00:00,E0,50,2026-09-20,14.2,0,
2026-09-22T08:00:12+00:00,SP1,69,2026-09-20,14.2,1,
2026-09-22T08:00:12+00:00,D1,36,2026-09-20,14.2,0,
2026-09-22T08:00:12+00:00,I1,50,2026-09-20,14.2,0,
2026-09-22T08:00:12+00:00,F1,45,2026-09-20,14.2,0,
2026-09-23T08:02:27+00:00,E0,50,2026-09-20,38.2,0,
2026-09-23T08:02:27+00:00,SP1,69,2026-09-20,38.2,1,
2026-09-23T08:02:27+00:00,D1,36,2026-09-20,38.2,0,
2026-09-23T08:02:27+00:00,I1,50,2026-09-20,38.2,0,
2026-09-23T08:02:27+00:00,F1,45,2026-09-20,38.2,0,
2026-09-24T07:52:50+00:00,E0,50,2026-09-20,62.0,0,
2026-09-24T07:52:50+00:00,SP1,69,2026-09-20,62.0,1,
2026-09-24T07:52:50+00:00,D1,36,2026-09-20,62.0,0,
2026-09-24T07:52:50+00:00,I1,50,2026-09-20,62.0,0,
2026-09-24T07:52:50+00:00,F1,45,2026-09-20,62.0,0,
2026-09-25T08:15:35+00:00,E0,50,2026-09-20,86.4,0,
2026-09-25T08:15:35+00:00,SP1,69,2026-09-20,86.4,1,
2026-09-25T08:15:35+00:00,D1,36,2026-09-20,86.4,0,
2026-09-25T08:15:35+00:00,I1,50,2026-09-20,86.4,0,
2026-09-25T08:15:35+00:00,F1,45,2026-09-20,86.4,0,
2026-09-26T08:03:23+00:00,E0,50,2026-09-20,110.2,0,
2026-09-26T08:03:23+00:00,SP1,69,2026-09-20,110.2,1,
2026-09-26T08:03:23+00:00,D1,36,2026-09-20,110.2,0,
2026-09-26T08:03:23+00:00,I1,50,2026-09-20,110.2,0,
2026-09-26T08:03:23+00:00,F1,45,2026-09-20,110.2,0,
