checked_at,league,upcoming,unconfirmed,file_last_date,file_age_hours,error,unknown_teams
2026-09-11T15:46:31+00:00,E0,10,0,2027-05-30,112.1,,
2026-09-11T15:46:31+00:00,SP1,10,0,2027-05-30,0.5,,
2026-09-11T15:46:31+00:00,D1,9,0,2027-05-22,1.0,,
2026-09-11T15:46:31+00:00,I1,10,0,2027-05-29,0.3,,
2026-09-11T15:46:31+00:00,F1,9,0,2027-05-28,0.3,,
2026-09-11T19:23:49+00:00,E0,10,0,2027-05-30,115.7,,
2026-09-11T19:23:49+00:00,SP1,10,0,2027-05-30,1.3,,
2026-09-11T19:23:49+00:00,D1,9,0,2027-05-22,1.3,,
2026-09-11T19:23:49+00:00,I1,10,0,2027-05-29,1.3,,
2026-09-11T19:23:49+00:00,F1,9,0,2027-05-28,1.3,,
2026-09-11T22:56:03+00:00,E0,10,0,2027-05-30,119.3,,
2026-09-11T22:56:03+00:00,SP1,10,0,2027-05-30,0.1,,
2026-09-11T22:56:03+00:00,D1,9,0,2027-05-22,0.1,,
2026-09-11T22:56:03+00:00,I1,10,0,2027-05-29,0.1,,
2026-09-11T22:56:03+00:00,F1,9,0,2027-05-28,0.1,,
2026-09-12T05:19:20+00:00,E0,10,0,2027-05-30,125.6,,
2026-09-12T05:19:20+00:00,SP1,12,0,2027-05-30,1.4,,
2026-09-12T05:19:20+00:00,D1,8,0,2027-05-22,5.3,,
2026-09-12T05:19:20+00:00,I1,9,0,2027-05-29,5.3,,
2026-09-12T05:19:20+00:00,F1,8,0,2027-05-28,5.2,,
2026-09-12T12:34:46+00:00,E0,10,0,2027-05-30,132.9,,
2026-09-12T12:34:46+00:00,SP1,12,0,2027-05-30,1.8,,
2026-09-12T12:34:46+00:00,D1,8,0,2027-05-22,1.8,,
2026-09-12T12:34:46+00:00,I1,9,0,2027-05-29,1.8,,
2026-09-12T12:34:46+00:00,F1,8,0,2027-05-28,1.8,,
2026-09-12T14:52:26+00:00,E0,10,0,2027-05-30,135.2,,
2026-09-12T14:52:26+00:00,SP1,12,0,2027-05-30,0.3,,
2026-09-12T14:52:26+00:00,D1,8,0,2027-05-22,1.9,,
2026-09-12T14:52:26+00:00,I1,9,0,2027-05-29,0.1,,
2026-09-12T14:52:26+00:00,F1,8,0,2027-05-28,1.9,,
2026-09-12T15:57:45+00:00,E0,10,0,2027-05-30,136.3,,
2026-09-12T15:57:45+00:00,SP1,12,0,2027-05-30,1.4,,
2026-09-12T15:57:45+00:00,D1,8,0,2027-05-22,3.0,,
2026-09-12T15:57:45+00:00,I1,9,0,2027-05-29,1.2,,
2026-09-12T15:57:45+00:00,F1,8,0,2027-05-28,3.0,,
2026-09-12T18:54:06+00:00,E0,10,0,2027-05-30,139.2,,
2026-09-12T18:54:06+00:00,SP1,12,0,2027-05-30,0.5,,
2026-09-12T18:54:06+00:00,D1,8,0,2027-05-22,1.5,,
2026-09-12T18:54:06+00:00,I1,9,0,2027-05-29,1.5,,
2026-09-12T18:54:06+00:00,F1,8,0,2027-05-28,0.7,,
2026-09-12T22:45:41+00:00,E0,10,0,2027-05-30,143.1,,
2026-09-12T22:45:41+00:00,SP1,12,0,2027-05-30,2.6,,
2026-09-12T22:45:41+00:00,D1,8,0,2027-05-22,5.4,,
2026-09-12T22:45:41+00:00,I1,9,0,2027-05-29,2.6,,
2026-09-12T22:45:41+00:00,F1,8,0,2027-05-28,3.6,,
2026-09-13T05:34:03+00:00,E0,3,0,2027-05-30,149.9,,
2026-09-13T05:34:03+00:00,SP1,12,0,2027-05-30,1.4,,
2026-09-13T05:34:03+00:00,D1,2,0,2027-05-22,1.4,,
2026-09-13T05:34:03+00:00,I1,6,0,2027-05-29,1.4,,
2026-09-13T05:34:03+00:00,F1,3,0,2027-05-28,1.4,,
2026-09-13T13:35:25+00:00,E0,3,0,2027-05-30,157.9,,
2026-09-13T13:35:25+00:00,SP1,12,0,2027-05-30,0.9,,
2026-09-13T13:35:25+00:00,D1,2,0,2027-05-22,1.2,,
2026-09-13T13:35:25+00:00,I1,6,0,2027-05-29,1.8,,
2026-09-13T13:35:25+00:00,F1,3,0,2027-05-28,1.2,,
2026-09-13T19:10:43+00:00,E0,3,0,2027-05-30,163.5,,
2026-09-13T19:10:43+00:00,SP1,12,0,2027-05-30,2.6,,
2026-09-13T19:10:43+00:00,D1,2,0,2027-05-22,6.8,,
2026-09-13T19:10:43+00:00,I1,6,0,2027-05-29,0.1,,
2026-09-13T19:10:43+00:00,F1,3,0,2027-05-28,1.4,,
2026-09-13T22:47:01+00:00,E0,3,0,2027-05-30,167.1,,
2026-09-13T22:47:01+00:00,SP1,12,0,2027-05-30,2.5,,
2026-09-13T22:47:01+00:00,D1,2,0,2027-05-22,2.7,,
2026-09-13T22:47:01+00:00,I1,6,0,2027-05-29,2.5,,
2026-09-13T22:47:01+00:00,F1,3,0,2027-05-28,2.8,,
2026-09-14T05:39:02+00:00,E0,1,0,2027-05-30,6.5,,
2026-09-14T05:39:02+00:00,SP1,10,0,2027-05-30,0.5,,
2026-09-14T05:39:02+00:00,D1,0,0,2027-05-22,3.7,,
2026-09-14T05:39:02+00:00,I1,3,0,2027-05-29,0.5,,
2026-09-14T05:39:02+00:00,F1,0,0,2027-05-28,1.7,,
2026-09-14T15:34:12+00:00,E0,1,0,2027-05-30,16.4,,
2026-09-14T15:34:12+00:00,SP1,10,0,2027-05-30,2.9,,
2026-09-14T15:34:12+00:00,D1,0,0,2027-05-22,6.6,,
2026-09-14T15:34:12+00:00,I1,3,0,2027-05-29,2.9,,
2026-09-14T15:34:12+00:00,F1,0,0,2027-05-28,5.6,,
2026-09-14T16:51:17+00:00,E0,1,0,2027-05-30,17.7,,
2026-09-14T16:51:17+00:00,SP1,10,0,2027-05-30,4.1,,
2026-09-14T16:51:17+00:00,D1,0,0,2027-05-22,7.9,,
2026-09-14T16:51:17+00:00,I1,3,0,2027-05-29,0.8,,
2026-09-14T16:51:17+00:00,F1,0,0,2027-05-28,6.9,,
2026-09-14T20:43:04+00:00,E0,1,0,2027-05-30,21.6,,
2026-09-14T20:43:04+00:00,SP1,10,0,2027-05-30,3.5,,
2026-09-14T20:43:04+00:00,D1,0,0,2027-05-22,11.7,,
2026-09-14T20:43:04+00:00,I1,3,0,2027-05-29,4.7,,
2026-09-14T20:43:04+00:00,F1,0,0,2027-05-28,10.8,,
2026-09-14T23:39:48+00:00,E0,1,0,2027-05-30,24.5,,
2026-09-14T23:39:48+00:00,SP1,10,0,2027-05-30,2.4,,
2026-09-14T23:39:48+00:00,D1,0,0,2027-05-22,2.4,,
2026-09-14T23:39:48+00:00,I1,3,0,2027-05-29,1.1,,
2026-09-14T23:39:48+00:00,F1,0,0,2027-05-28,1.6,,
2026-09-15T05:40:54+00:00,E0,1,0,2027-05-30,30.5,,
2026-09-15T05:40:54+00:00,SP1,10,0,2027-05-30,5.6,,
